ID_REF,G3.2_0ISO_1,G3.2_0ISO_2,G3.2_0ISO_3,G3.2_5ISO_1,G3.2_5ISO_2,G3.2_5ISO_3
1001_115,6.7180,6.5388,6.4214,6.5042,6.5109,6.4569
1002_33,4.4016,4.3838,4.3317,4.6060,4.3970,4.3821
1003_942,5.1714,5.5612,5.5590,5.0110,5.1391,5.1211
1004_552,8.1956,8.1221,8.0568,8.0742,7.8784,7.8425
1005_657,7.5389,7.6606,7.5818,7.6731,7.5159,7.5641
1006_393,8.0096,8.1133,7.9952,8.0573,8.0850,8.0537
1007_41,8.0951,7.7434,7.7714,7.7218,7.6651,7.7567
1008_680,5.3777,5.3623,5.3429,5.2257,5.3080,5.5215
1009_267,4.8357,4.7570,4.6109,4.8989,4.7053,4.7405
100_1058,4.7815,4.9319,4.9387,4.9914,4.7294,4.8161
1010_197,4.4351,4.4848,4.4601,4.3252,3.9584,4.1344
1011_76,5.0255,5.1306,5.2171,5.0392,4.7408,4.8247
1012_411,4.8384,4.6167,4.5565,4.5418,4.0884,4.2470
1013_388,4.4595,4.5586,4.5496,4.3043,4.2816,4.2663
1014_158,4.3565,3.9140,4.3275,4.5044,4.1498,4.1561
1015_23,4.8726,5.8646,5.1591,5.7584,5.7926,5.6159
1016_25,7.4178,7.5993,7.3591,7.1685,7.4016,7.2450
1017_1368,5.2884,5.3001,5.2601,5.3446,5.4121,5.4580
1018_1092,5.0100,5.3700,5.2903,5.6923,5.5898,5.7352
1019_1473,7.5658,7.4570,7.3656,7.3738,7.2988,7.1902
101_1163,4.5876,4.7150,4.4284,4.7652,4.5753,4.4077
1020_2206,6.5652,6.5423,6.4554,6.5282,6.5691,6.5862
1021_9,6.0427,6.1987,6.1519,6.1601,6.2579,6.2741
1022_120,6.6811,6.3238,6.3572,6.2971,6.0646,6.1135
1023_1036,4.9913,5.0681,4.9639,5.7547,5.4722,5.6218
1024_453,6.6446,6.8299,6.7513,7.0319,6.9936,6.9633
1025_1008,7.4234,7.6110,7.5679,7.8733,7.8094,7.7750
1026_524,7.6446,7.7850,7.6687,7.3657,7.4498,7.4657
1027_489,6.4246,6.3572,6.2457,6.2019,6.0832,6.0680
1028_23,5.3191,5.7877,5.8066,5.6140,5.3827,5.4335
1029_1008,7.2600,7.4699,7.3948,7.2337,7.3930,7.5656
102_302,4.4548,4.4065,4.1819,4.3754,4.1030,4.1786
1030_36,7.0378,6.6789,6.7425,6.9166,6.8152,6.9311
1031_81,6.3605,6.4689,6.4236,6.9190,6.8970,6.9591
1032_826,7.0836,6.8702,6.9544,7.4840,7.3727,7.3216
1033_411,5.6292,5.5686,5.5328,5.9539,5.8446,5.9246
1034_492,7.0474,7.0151,6.9008,7.0863,7.1574,7.1100
1035_829,5.7839,5.7882,5.6923,5.6189,5.5656,5.5379
1036_283,8.2413,8.2029,8.1574,7.6587,7.5725,7.5495
1037_413,8.1274,8.0858,8.0444,7.4073,7.4788,7.4279
1038_605,7.1297,6.9095,6.8506,6.6541,6.4631,6.4674
1039_1375,7.8382,7.8615,7.7291,7.6490,7.7495,7.8312
103_846,7.5564,7.7089,7.4588,7.4743,7.4779,7.4019
1040_251,6.5054,7.0186,6.6079,6.9098,7.0052,6.8787
1041_150,7.0879,7.6178,7.2188,7.6286,7.6031,7.5559
1042_331,6.5135,7.0228,6.4549,7.1694,7.3494,7.2121
1043_294,5.5538,6.4474,5.5925,6.6042,6.4752,6.3919
1044_121,6.2806,7.4278,6.5451,7.4217,7.5518,7.4182
1045_509,5.9910,6.8174,5.9084,7.0378,6.7789,6.7112
1046_1137,5.4431,5.9264,5.2819,6.3068,6.0551,5.8958
1047_521,6.0360,7.0589,6.3197,7.2884,7.2097,7.0630
1048_572,5.3709,6.2086,5.5458,6.5739,6.4497,6.3144
1049_502,5.9850,7.3188,6.3940,7.4936,7.4300,7.2934
104_247,7.0575,6.9119,6.7656,6.6953,6.4839,6.4133
1050_1050,6.4906,7.6532,6.8702,7.6368,7.7033,7.6445
1051_631,5.7623,6.8373,6.0104,6.8648,6.9698,6.7626
1052_1599,6.7750,7.2320,6.6662,7.0899,6.9397,6.8681
