WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YAL008W	465	291	911	926	946
YBR255W	1040	1357	1428	1304	1112
YGR131W	95	170	230	113	138
YNL003C	1800	3107	3979	3012	2899
YBR135W	1094	2143	936	860	561
YBR160W	2122	2926	3950	3630	2980
YJL082W	1008	2517	2864	1555	1929
YPL191C	254	332	542	416	327
YGL215W	7344	8385	9506	8903	7456
YKL074C	1881	1704	2432	2583	1929
YJL077C	229	378	21	20	9
YKL096W-A	13317	46076	43842	32835	28559
YIL124W	2358	3981	5962	3502	4314
YPL039W	797	906	603	670	503
YGL141W	1289	1766	2606	2039	1675
YJL179W	1580	1746	1652	2563	1149
YDR316W-B	0	0	0	0	0
YOR009W	357	556	298	323	192
YKL029C	17202	18968	17511	19128	12074
YPL166W	74	180	176	128	92
YKL052C	1083	1453	965	865	532
YHR025W	20079	34176	31024	27932	20872
YOL034W	1987	2083	2329	2133	1800
YBL008W	1658	2459	2938	3117	2234
YIL062C	2216	3523	3431	2580	2717
YOL116W	893	1450	1188	884	823
YDR196C	1638	1975	2655	2259	2069
YNL255C	20301	24952	22450	20571	16139
YNR032W	1024	1686	2245	2059	1744
YNR045W	753	1138	1063	1017	794
YML105C	3583	3350	4988	4869	3495
YNL288W	7249	10257	10612	10068	8350
YIL004C	1595	1888	1722	1571	1354
YNR018W	3782	6030	5595	4522	4198
YPL144W	553	964	1236	894	1038
YFR047C	3714	3487	3379	3895	2326
YER087C-B	5818	6480	8558	7713	6549
YHR078W	2728	5435	4735	5094	3078
YJR115W	163	163	1314	85	753
YLR355C	82870	108120	84608	77994	62565
YGR099W	1552	2453	3953	5123	2911
YLR300W	25299	61164	33651	46011	22322
YCL028W	4072	6666	4527	3511	2688
YJR140C	2700	3806	4756	5117	3323
YOR033C	2566	3691	3320	3280	2337
YOR062C	818	1186	956	673	645
YBR043C	1964	2244	1877	1986	1427
YHR112C	1637	2509	2069	1761	1557
YLR011W	159	270	242	246	216
YIL044C	2185	2883	3732	3487	2884
YKR103W	0	0	903	1219	583
YKR084C	3292	3995	5918	5359	4337
YER121W	27	38	83	25	92
YCR046C	1035	2476	2339	1781	1720
YNL144C	265	368	433	275	280
YKL204W	2588	3730	3925	3980	2599
YOR266W	981	1082	1522	1462	1026
YDR393W	1789	2788	2132	1806	1328
YGR186W	6423	7033	7721	7273	5477
YPR194C	211	668	332	439	295
YGR019W	1078	2342	3408	2792	2607
YNL208W	2354	7490	6416	3701	5326
YLL057C	123	169	59	34	6
YBR296C	144	309	4	0	3
YNL277W	876	1547	892	825	703
YMR040W	110	120	309	252	237
YDR077W	56767	222078	140274	94167	103028
YMR266W	16112	12318	11677	5351	9296
YKR064W	1556	2031	2910	2693	1990
YPL089C	1609	2494	2883	2319	1994
YGR277C	1969	3382	2280	2274	1951
YDL139C	367	380	312	342	191
YDR246W	695	1102	898	820	702
YOR288C	1573	2304	3514	2121	1845
YCR028C	4272	5155	6881	6471	4996
YML054C	399	975	2314	1131	1540
YLR179C	30175	56640	6647	6407	5356
YOR141C	2874	3842	4915	4708	3591
YPL280W	1	0	0	0	0
YBL106C	1943	5865	2220	2245	1646
YGL044C	1327	1298	2133	2258	1478
YER107C	2962	3456	4674	4338	3456
YBR038W	8459	10658	10348	11483	6963
YEL047C	3369	6521	6038	3928	3987
YPR016C	21835	32987	35586	33157	28033
YOR208W	1644	2928	1867	1335	1327
YDL055C	68058	97785	161406	155589	129719
YML009C	629	1177	928	645	658
YML072C	30886	36744	42925	39914	27365
YDR142C	1097	1519	1802	1581	1550
YFL044C	675	1503	1848	1712	1358
YKL019W	2267	3852	3966	3454	3247
YJL130C	54882	98823	77552	105836	58981
YBL085W	3221	3962	5597	5025	3964
YFL011W	0	2	0	2	6
YDR082W	613	850	957	949	773
YDR348C	3453	3949	5011	4310	3710
YKL182W	83534	156298	157424	124188	121149
YDR333C	3708	5127	5056	5001	3711
YKL018C-A	1205	1565	1504	1454	1239
YPL027W	6	0	6	12	8
YIR012W	10116	11970	12292	15223	10566
YLR363C	1139	1217	2333	2353	1664
YDR179C	254	179	274	297	203
YLR431C	307	371	611	521	508
YKR046C	5841	17692	12516	9447	8359
YJR005W	2151	3307	4458	4131	3182
YJL116C	215	589	2139	4258	2210
YER030W	2182	2408	3061	2612	2456
YHR041C	1193	2834	2345	1383	1621
YJR072C	5191	5924	4444	5620	3405
YDR047W	6271	8170	9723	9445	8080
YKR039W	337	549	487	145	391
YGL003C	1445	1909	2515	3506	1984
YPL009C	7993	8385	8761	8887	6037
YDR268W	1019	1150	1915	1784	1377
YGL192W	572	797	1199	1064	847
YDL117W	3038	6001	5896	6341	4210
YMR131C	18083	19304	22514	26761	17464
YMR293C	541	912	1673	1463	1062
YJL214W	126	55	426	342	288
YIL105C	1651	2716	2923	2586	1978
YML126C	33770	57482	61717	57107	46413
YLR189C	2099	3291	4381	3795	2931
YIL150C	319	439	650	631	529
YGL250W	341	781	998	742	716
YBR212W	1929	3670	4695	3959	3317
YJR109C	4428	6434	2787	2595	1978
YLR254C	546	511	365	415	309
YGR085C	48881	56705	84777	111984	68080
YPL105C	12632	13497	11333	11142	8073
YGR145W	9993	8041	8280	12517	6190
YGR110W	368	701	516	592	393
YGL154C	1144	1302	700	734	349
YOR010C	195	114	4	9	0
YJR123W	210186	311391	377437	304199	272992
YKL099C	3816	2563	3850	4900	2902
YDR315C	411	597	462	414	427
YLR394W	1276	1854	1688	1757	1111
YNL104C	19673	39871	19087	16530	14387
YNL151C	4310	3889	2861	3741	2226
YNR066C	218	1488	431	303	207
YLR220W	3299	4782	8533	3680	6696
YIL045W	405	372	531	334	377
YMR232W	304	423	297	354	143
YNL083W	977	1514	2542	2129	1773
YGR038C-B	0	0	0	0	0
YMR238W	9127	14278	13022	10083	9070
YER168C	2899	3592	4556	4818	3120
YPL265W	6311	10755	24303	11285	17812
YOR227W	2464	4979	5886	3332	3769
YOR081C	1475	1856	1895	1551	1396
YEL026W	34077	41401	36164	37249	29754
YDR021W	2098	1054	1649	2422	1373
YGL063W	570	862	621	589	427
YPL212C	7138	6792	8361	9084	6145
YOL157C	30	28	84	48	58
YPR095C	2499	3659	3790	3260	2872
YOR310C	53319	58779	62422	63758	45282
YDR188W	13831	20490	20416	22577	16439
YAL027W	385	267	252	277	206
YGL236C	1528	3462	2472	2337	1757
YHR133C	9553	11172	12236	15840	8439
YDR017C	3700	4360	5156	5445	3809
YIL090W	7307	9268	9428	10585	6526
YBR183W	239	678	3066	1447	1914
YOL048C	332	718	719	392	559
YML039W	0	0	0	0	0
YCR007C	213	226	384	303	272
YDR540C	57	54	256	201	186
YEL004W	943	883	1741	2024	1138
YPR057W	1226	1492	892	805	602
YLL032C	1110	1666	2248	2503	1457
YDR116C	2252	3415	4296	3719	3104
YPL119C-A	60	52	0	0	0
YLR030W	439	547	563	444	341
YDR122W	1798	6005	3509	2361	2440
YOL062C	4809	8543	7753	6793	6168
YNL234W	719	602	1717	1246	1599
YJL194W	801	1489	1301	1991	967
YOL015W	128	152	44	66	26
YDL070W	6101	5083	7249	6455	4928
YOR241W	5107	6625	5216	5641	3905
YLR056W	76664	54448	51505	45193	39197
YKL110C	4095	3820	3758	4076	2760
YML100W-A	6	24	14	20	4
YBR280C	505	999	1327	782	885
YLR204W	1301	2195	2294	1727	1634
YML097C	2596	2788	3158	3046	2416
YKR007W	589	866	779	748	432
YHR193C	29685	34516	39128	42724	27446
YBL099W	39757	87570	82867	64692	58264
YJR035W	770	1830	1583	1347	955
YOR126C	1175	1618	1603	1564	1243
YMR023C	418	438	745	629	533
YOR119C	4518	3493	3955	5383	2899
YNL187W	173	373	437	352	286
YMR101C	8	25	4	4	2
YCL045C	19572	22999	25524	26567	17113
YCR061W	532	1488	1070	871	520
YPR115W	2799	7473	2284	2274	1678
YHR088W	4330	3270	3660	4895	3033
YBR017C	8734	10326	11736	12277	8759
YPR162C	1580	1716	2137	1997	1530
YGR166W	2194	2764	2468	2325	1759
YDL161W	3034	3359	3744	3204	2667
YKL050C	604	807	476	645	354
YJR055W	487	435	372	418	319
YGL099W	7810	7934	6881	8731	5269
YFL030W	191	749	1118	691	689
YIL119C	90	117	416	118	446
YPL193W	1638	1540	1823	2396	1358
YNL005C	4359	6194	6541	6725	4471
YJL144W	33	159	13	19	6
YBR012W-B	130	0	0	0	0
YJR139C	20703	26818	50924	37268	37491
YBR133C	4068	6524	6111	5788	4085
YBR162C	30239	47036	41843	34032	29581
YNL331C	118	77	603	592	469
YJL079C	1043	1944	2573	1643	1949
YGL019W	6707	10271	9877	14984	8522
YGR201C	702656	1191	151	155	113
YNL172W	1881	3993	4207	4451	3204
YNL058C	2485	4262	3290	2832	2229
YPL160W	33369	43833	53767	62889	38900
YNL023C	4492	4741	4280	6188	3479
YDR214W	5497	10977	5688	6027	4289
YLR222C	9349	8600	13986	17437	10569
YLR295C	3098	6569	6175	4728	4544
YER175W-A	8	87	163	179	127
YHR168W	956	1239	1113	1781	864
YOR064C	828	1630	1723	1405	1393
YNL318C	62	37	67	48	39
YOL081W	7887	13127	14877	11616	11677
YOL036W	3778	5687	5398	5374	4193
YGL148W	15717	19314	20070	19398	14838
YOR031W	505	689	550	330	452
YBR282W	962	1256	1161	921	758
YDR194C	14839	15811	18399	20876	11556
YOL114C	42	62	71	101	28
YNL257C	2451	3285	4499	4175	3309
YNR030W	7228	9792	11607	11335	8027
YAL037C-A	325	17	130	233	110
YML007C-A	24	27	33	37	11
YDR466W	1996	2695	3513	2911	2560
YFR045W	455	831	1646	1108	1145
YIL002C	2395	3491	4338	4187	3190
YGR159C	43949	56950	46180	48248	34722
YGL089C	81	74	63	76	52
YFR032C	35	29	0	0	0
YNL118C	5498	5878	8577	8271	5660
YGL228W	11407	12078	11480	11998	7514
YJR117W	17523	19635	23815	22108	16459
YBR196C-A	169	226	178	193	153
YBR196C-B	27	56	24	14	16
YLR357W	2801	3037	3902	3785	2655
YER127W	5504	4067	4373	5629	3509
YBL015W	1082	1903	4982	4703	3469
YLR017W	7003	9081	10262	10912	8018
YHR110W	3041	3225	4956	3797	3472
YBR041W	6625	7836	10188	11109	6709
YCL068C	0	0	0	0	0
YDL039C	681	235	1326	53	1542
YOR264W	1693	2950	2648	2947	1948
YNL042W-B	0	0	0	0	0
YBL029C-A	229	733	831	570	618
YGR184C	9177	12956	13028	13565	9437
YNL275W	3837	2976	2686	2442	1986
YAR015W	9405	5008	13013	11799	9735
YOR384W	1000	1956	1215	1019	847
YLL051C	4043	6743	2822	2916	2009
YDR427W	5759	5637	9038	9272	6680
YLR079W	1061	2225	1515	1542	1237
YLR408C	116	151	212	201	200
YMR093W	7810	7849	9436	10665	7711
YBR221W-A	221	368	542	396	400
YDR079W	838	1042	1203	1074	902
YMR268C	801	894	853	876	595
YML070W	3309	5331	10064	9407	6991
YHR175W-A	698	719	529	649	467
YPR072W	5105	5148	6536	5911	4389
YMR108W	20651	27197	24632	27732	17672
YCR091W	286	299	544	383	458
YER062C	659	1916	10837	3205	9305
YDR244W	1315	2075	2616	2385	1781
YER189W	18	10	275	335	238
YDL137W	7578	11017	14750	9633	10749
YGR271W	3286	5387	5670	6061	4264
YDR233C	64764	41761	47429	41778	28345
YGR071C	1835	2192	2624	4006	1848
YCR106W	832	5794	33	67	16
YER109C	1169	1550	2235	1951	1580
YDR489W	1190	1700	1528	1456	1306
YPR049C	1175	1535	2010	2312	1631
YDL057W	275	282	313	286	222
YGR257C	1950	3267	3030	2290	2160
YPL235W	7391	7451	10362	11220	7841
YBL087C	45014	60523	53341	46829	43328
YJL132W	280	777	358	684	271
YGL190C	4287	5613	6716	5543	4915
YBR110W	4840	5358	5718	5407	4052
YDR144C	16863	18424	22444	26614	15038
YFL046W	781	926	896	818	587
YOR103C	3558	3808	5620	4424	4564
YKL137W	1031	1344	1670	1348	1236
YDR447C	65511	73352	69225	61372	52577
YGL009C	5438	10174	16378	21272	12390
YPR145W	23483	46221	50387	52589	37863
YJL063C	1580	2832	3008	2473	2393
YDL160C-A	174	230	337	385	316
YPL021W	4	10	2	0	0
YIR010W	1183	1657	1382	1338	897
YDR331W	5213	5743	5835	5517	4367
YJL114W	0	0	0	0	0
YKR044W	3296	4104	2333	2478	1902
YLR433C	2222	2807	2743	2955	2052
YMR068W	391	695	659	626	525
YLR157C-B	0	0	0	0	0
YIL130W	1964	2478	4234	4018	2854
YER032W	2258	2853	3237	3057	2247
YJR070C	21440	29425	19221	19729	15162
YGL005C	1052	1017	977	1945	750
YHR043C	408	552	3464	2986	3145
YDL111C	4386	5134	6171	5803	4817
YMR133W	80	482	1157	617	781
YPL007C	1016	1230	1827	1647	1268
YKL159C	781	1399	1208	1022	817
YDR059C	366	967	778	581	581
YLR138W	13270	16564	9946	12299	6808
YBR101C	3337	6297	4880	4896	3361
YLR396C	2549	3595	4170	4285	2999
YBR245C	6029	7225	9314	9075	6432
YJL216C	258	426	64	42	68
YBR210W	1297	1262	1265	1210	929
YPL103C	1208	1923	2870	2752	1910
YIL103W	4182	4127	4681	5849	3583
YIL152W	334	457	418	301	309
YJR096W	626	1071	1599	1036	984
YGR143W	2111	3985	1973	1632	1467
YGR112W	529	1165	1287	1017	843
YLR256W	6049	7901	7193	5795	5369
YHR174W	1364391	1967009	1901161	2283861	1406919
YOR012W	299	287	475	420	389
YIR001C	859	1017	1249	1053	1023
YDL213C	4565	4575	4359	5107	3503
YDR317W	244	337	636	526	471
YDR478W	905	709	585	653	481
YOL164W-A	0	0	0	0	0
YNL106C	1433	2709	2511	2616	1859
YOR378W	469	853	600	765	387
YFR015C	166	1200	8102	719	5880
YMR230W	40961	49161	43710	39711	36395
YIL092W	975	1086	1311	1524	1057
YAR009C	0	0	0	0	0
YLR321C	2136	2181	2868	2852	2071
YBR004C	4197	4822	4380	4559	3552
YGR052W	54	24	2144	2703	751
YJR161C	851	1839	1888	3002	2772
YOR278W	789	842	1460	1226	1064
YNL085W	10389	11243	16495	16711	11200
YGL061C	619	780	806	1008	586
YPL210C	6829	6087	10292	9701	6581
YOR087W	3662	4319	4167	3824	2868
YGL234W	63955	91667	97052	101384	72599
YOR347C	157	366	1088	442	866
YPR093C	303	412	329	271	328
YAL029C	7734	4454	12532	12802	8811
YOL155C	40047	310860	17163	54986	6176
YDR421W	931	1489	1873	1737	1151
YGL171W	6051	4748	3961	5726	2702
YDR294C	6005	9515	10245	10776	7037
